Data;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
01/06/2022;489,5064;676,9026;985,558;1088,0889;1111,8192;1150,1104;1222,9617;1282,2153;1312,161;1342,3165;1362,536;1377,761;1382,8473;1372,6802;1352,4147;1322,1896;1282,2153;1257,4224;1188,7946;1073,9261;962,6912;886,1841;912,9656;820,3073;705,7354;632,3436;596,5829;565,3345;511,9039;460,1237;
01/05/2022;557,6029;504,4041;527,0042;756,0067;930,9545;990,1509;990,1509;971,8182;976,3915;967,2514;949,05;921,9467;877,3112;820,3073;751,7773;664,6586;608,4325;576,9926;534,6044;493,218;460,1237;445,6422;434,8742;417,1074;392,6177;358,4288;318,6825;289,8263;283,5283;389,1563;493,218
01/04/2022;442,0439;406,5565;378,8283;378,8283;410,0643;417,1074;403,0579;427,7404;489,5064;519,4373;534,6044;608,4325;709,8842;701,594;680,9991;676,9026;656,5338;616,3716;561,4647;500,6669;445,6422;403,0579;463,7661;604,4747;640,3762;685,1031;709,8842;689,2146;648,4396;604,4747;
01/03/2022;184,0829;153,2367;174,693;187,2379;225,8664;228,8003;246,6438;261,8215;249,6572;243,6416;234,7026;240,6506;246,6438;271,0598;328,485;511,9039;628,3389;596,5829;600,5249;685,1031;680,9991;668,7323;652,4828;660,5924;926,4472;967,2514;850,8566;718,2041;628,3389;561,4647;496,9382
01/02/2022;399,5686;403,0579;385,7042;361,8047;358,4288;368,5854;331,7726;292,9911;267,9695;243,6416;222,9441;199,9897;177,8103;165,4182;153,2367;147,2278;144,2442;144,2442;138,3199;132,4535;132,4535;135,3793;141,2749;141,2749;147,2278;168,4968;187,2379;193,5847;;;
01/01/2022;129,5425;132,4535;135,3793;138,3199;138,3199;144,2442;150,2253;159,3006;177,8103;196,7763;202,8172;202,8172;196,7763;184,0829;202,8172;208,5083;228,8003;261,8215;315,4352;368,5854;399,5686;403,0579;378,8283;348,3592;328,485;312,1981;299,3521;302,5481;365,1903;371,9902;371,9902
01/12/2021;177,81;168,5;153,24;144,24;138,32;138,32;135,38;135,38;138,32;138,32;141,27;147,23;147,23;141,27;135,38;132,45;132,45;132,45;132,45;135,38;135,38;135,38;129,54;120,9;118,05;120,9;135,38;138,32;132,45;129,54;123,77
01/11/2021;478,42;424,19;385,7;389,16;420,64;431,3;431,3;420,64;417,11;406,56;385,7;368,59;345,02;315,44;286,67;261,82;243,64;234,7;243,64;243,64;243,64;252,68;264,89;255,72;240,65;222,94;211,37;199,99;190,41;184,08;
01/10/2021;205,66;237,67;264,89;328,49;399,57;431,3;508,15;576,99;600,52;624,34;616,37;584,8;546,07;508,15;511,9;705,74;726,55;726,55;768,74;794,4;794,4;773;743,34;829;850,86;807,32;751,78;697,46;644,4;592,65;534,6
01/09/2021;144,24;144,24;141,27;135,38;135,38;135,38;132,45;135,38;132,45;132,45;132,45;129,54;123,77;138,32;205,66;249,66;345,02;424,19;452,87;460,12;460,12;442,04;410,06;371,99;321,94;277,27;246,64;222,94;208,51;196,78;
